"Name","Runtime","Tags","ID","State","dataset_idx","epochs","batch_size","eps","learning_rate","seed","dataset","model_architecture","optimizer","d_hidden","d_model","dropout","num_heads","num_layers","diagrams_type","best_test_acc","test/accuracy","test/loss","train/accuracy","train/loss","epoch"
"kmnist [4,7,10,13]","9231","kmnist","2zswjd1o","finished","[4,7,10,13]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7914337060702875","0.7875399361022364","0.7083016288118621","0.90635","0.2801379065185785","99"
"blobs [0,2,4,6,8,10,12,14]","776","blobs","2b91tn40","killed","[0,2,4,6,8,10,12,14]","20","32","0.05","0.00017","0","BLOBS","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","1","1","0.00033605791534119776","1","0.00038687282994699976","9"
"blobs [1,3,5,7]","527","blobs","28t5z2vi","finished","[1,3,5,7]","20","32","0.05","0.00017","0","BLOBS","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","1","1","0.0003077821433728945","1","0.00034578224504366515","19"
"blobs [1,7]","266","blobs","rujak9pe","finished","[1,7]","20","32","0.05","0.00017","0","BLOBS","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","1","1","0.0006470057664306036","1","0.000747622780346622","19"
"blobs [4]","159","blobs","bc4n319e","finished","[4]","20","32","0.05","0.00017","0","BLOBS","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","1","1","0.0008290633614662857","1","0.0009544150511113306","19"
"blobs [2]","83","blobs","61cteqzi","finished","[2]","10","32","0.05","0.00017","0","BLOBS","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","1","0.9871031746031746","0.03302104725310254","0.9886666666666668","0.03313324191297094","9"
"blobs [0]","92","blobs","p5bf83m7","finished","[0]","10","32","0.05","0.00017","0","BLOBS","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","1","1","0.0002665174977173881","1","0.0003097081899177283","9"
"fmnist [2,4,6,8]","22843","fmnist","k9fh8vzg","finished","[2,4,6,8]","100","32","0.05","0.00017","0","F-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7740615015974441","0.7740615015974441","0.6596702162545329","0.8414833333333334","0.41880199743906654","99"
"kmnist [0,1,2,3]","8852","kmnist","v3wj50te","finished","[0,1,2,3]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6410742811501597","0.6022364217252396","2.0609873186665983","0.9196666666666666","0.22085538248022396","99"
"kmnist [8,9,10,11]","8010","kmnist","gcec2g1a","finished","[8,9,10,11]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6762180511182109","0.6762180511182109","1.0430099787993934","0.8126","0.5538625592072804","99"
"kmnist [0,4,8,12]","8396","kmnist","2vc83dwp","finished","[0,4,8,12]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.6449680511182109","0.6080271565495208","1.8919333866990793","0.9085333333333332","0.254176864584287","99"
"kmnist [3,6,9,12]","8458","kmnist","f70ibobc","finished","[3,6,9,12]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7715654952076677","0.7690694888178914","0.8444721905853801","0.9294333333333332","0.20415463686486085","99"
"kmnist [2,4,6,8]","8217","kmnist","w6d42xrc","finished","[2,4,6,8]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.7679712460063898","0.7556908945686901","0.911815100584548","0.9309333333333332","0.1962790671974421","99"
"kmnist [0,5,10,15]","8248","kmnist","c33fwlw7","finished","[0,5,10,15]","100","32","0.05","0.00017","0","K-MNIST","PersistentHomologyTransformer","Adam","192","64","0","8","4","add","0.641673322683706","0.5986421725239617","2.006771863078157","0.9152","0.23585816467901072","99"
